# Generated by build_examples.py. Columns: polish <TAB> english <TAB> sentence.
być	to be	Chcę **być** lekarzem.
zdumienie	amazement	Patrzył z **zdumienie** na wynik.
osłupienie	stupor	Stał w **osłupieniu**.
zażenowanie	embarrassment	Czułem **zażenowanie** po jego żarcie.
nadmienić	to mention	Chcę **nadmienić**, że się spóźnię.
przytoczyć	to quote	Nauczyciel **przytoczył** ciekawy przykład.
powołać się	to refer	Ona **powołała się** na prawo.
uzasadnić	to justify	Musisz **uzasadnić** swoją decyzję.
sprecyzować	to specify	Proszę **sprecyzować** pytanie.
sformułować	to formulate	Trzeba **sformułować** jasne zasady.
zredagować	to edit	Muszę **zredagować** ten tekst dziś.
streścić	to summarize	Czy możesz **streścić** ten artykuł?
zinterpretować	to interpret	Jak **zinterpretować** ten wynik?
zakwestionować	to question	Ona **zakwestionowała** jego decyzję.
obalić	to overthrow	Żołnierze chcieli **obalić** rząd.
zbagatelizować	to downplay	Nie chcę tego **zbagatelizować**.
wyolbrzymić	to exaggerate	Nie **wyolbrzymiaj** problemu.
przecenić	to overestimate	Możesz **przecenić** swoje siły.
niedocenić	to underestimate	Łatwo **niedocenić** ten problem.
docenić	to appreciate	Muszę **docenić** jego pomoc.
uwzględnić	to include	Trzeba **uwzględnić** koszty.
pominąć	to skip	Nie **pominąłeś** ważnego punktu.
wyodrębnić	to extract	Trzeba **wyodrębnić** główne dane.
scharakteryzować	to characterize	Proszę **scharakteryzować** tego bohatera.
zilustrować	to illustrate	Ten przykład **zilustruje** problem.
zobrazować	to depict	Rysunek dobrze **zobrazuje** sytuację.
odzwierciedlać	to reflect	Te wyniki **odzwierciedlają** prawdę.
świadczyć o	to testify about	To **świadczy o** jego sile.
sugerować	to suggest	To **sugeruje** deszcz.
implikować	to imply	Ten plan **implikuje** większe koszty.
wykluczać	to exclude	Ta oferta **wyklucza** zwrot.
dopuszczać	to permit	Regulamin **dopuszcza** reklamacje.
warunkować	to condition	Cena **warunkuje** decyzję.
determinować	to determine	Pogoda **determinuje** plan dnia.
czaszka	skull	W muzeum widziałem ludzką **czaszka**.
kark	nape, back of the neck	Boli mnie **kark** po pracy.
biodro	hip	Bolą mnie **biodra** po spacerze.
podudzie	shank	Upadłem i boli **podudzie**.
goleń	shin	Mam siniak na **goleni**.
pięta	heel	Mój but uciska **piętę**.
pośladek	buttock	Usiadłem na twardym i boli **pośladek**.
lędźwie	loins	Boli mnie **lędźwie** po dźwiganiu.
łopatka	shoulder	Boli mnie **łopatka** po treningu.
skroń	temple	Dotknął mnie w **skroń**.
podbródek	chin	Dziecko ma brudny **podbródek**.
klatka piersiowa	chest	Boli mnie **klatka piersiowa** przy kaszlu.
talia	waist	Ta sukienka podkreśla **talię**.
pas	crimson	Na stole leży czerwony **pas**.
nadgarstek	wrist	Złamałem **nadgarstek** na rowerze.
pachwina	groin	Poczułem ból w **pachwinie**.
udo	thigh	Boli mnie **udo**.
łydka	calf	Bolą mnie **łydki** po bieganiu.
przedramię	forearm	Mam zadrapanie na **przedramieniu**.
dłoń	palm, hand	Mam zimną **dłoń**.
pępek	belly button	Dziecko pokazuje **pępek**.
sutek	nipple	Dziecko szuka **sutka**.
gardło	throat	Boli mnie **gardło**.
żebra	ribs	Boli mnie pod **żebrami**.
nerki	kidneys	Mam ból w **nerkach**.
mięśnie	muscles	Po ćwiczeniach bolą mnie **mięśnie**.
migrena	migraine	Mam dziś silną **migrenę**.
biegunka	diarrhea	Po mleku mam **biegunkę**.
wymioty	vomiting	Po obiedzie były **wymioty**.
nudności	nausea	Mam rano **nudności**.
zatrucie	poisoning	To było **zatrucie** jedzeniem.
słabość	weakness	Czuję dużą **słabość**.
kac	hangover	Po imprezie mam **kac**.
nowotwór	tumor	Lekarz wykrył **nowotwór**.
kichanie	sneezing	Moje **kichanie** nie ustaje.
dreszcze	chills	Mam dziś **dreszcze**.
złamanie	fracture	Miał **złamanie** ręki.
odcisk	imprint	Na dłoni mam **odcisk**.
wapno	calcium carbonate	Ta ściana ma dużo **wapna**.
opatrunek	dressing	Na ranę dał **opatrunek**.
figi	figs	Lubię słodkie **figi**.
majtki	panties	Kupiłam nowe **majtki**.
boksery	boxers	Noszę wygodne **boksery**.
kąpielówki	swimming trunks	Na plażę wziąłem **kąpielówki**.
podkoszulek	undershirt	Założyłem biały **podkoszulek**.
pończochy	stockings	W zimie noszę **pończochy**.
golf	polo neck, turtleneck	Ten **golf** jest ciepły.
kardigan	cardigan	Założyłam szary **kardigan**.
żakiet	women's jacket	Ma elegancki **żakiet**.
szlafrok	bathrobe	Rano wkładam **szlafrok**.
futro	fur	Ta czapka ma **futro**.
kożuch	sheepskin coat	W zimie noszę **kożuch**.
skórzana kurtka	leather jacket	Ma nową **skórzaną kurtkę**.
puchowa kurtka	down jacket	Założyłam **puchową kurtkę**.
spodnie dresowe	sweatpants	Lubię wygodne **spodnie dresowe**.
czarne dżinsy rurki	black skinny jeans	Ma **czarne dżinsy rurki** do pracy.
bluzka na ramiączkach	a blouse with straps	Latem noszę **bluzkę na ramiączkach**.
wełniany szalik	woolen scarf	Dziadek kupił **wełniany szalik**.
komin	chimney	Na dachu jest **komin**.
bejsbolówka	baseball cap	On nosi **bejsbolówkę**.
ciuchy	clothes, togs	Te **ciuchy** są stare.
japonki	flip-flops	Na plaży mam **japonki**.
klapki	flip-flops, slippers	W domu noszę **klapki**.
ciepłe kapcie	warm slippers	Zimą zakładam **ciepłe kapcie**.
sandały	sandals	Latem noszę **sandały**.
kozaki	boots	W śniegu mam **kozaki**.
trampki	sneakers	Lubię białe **trampki**.
tenisówki	tennis shoes	W szkole noszę **tenisówki**.
sportowe buty	sports shoes	Na WF mam **sportowe buty**.
czółenka	pumps	Mama kupiła **czółenka**.
buty na obcasach	high-heeled shoes	Na imprezę mam **buty na obcasach**.
obrączka	wedding ring	Ona nosi **obrączkę**.
wisiorek	pendant	Dostałam srebrny **wisiorek**.
łańcuszek	chain	Mam złoty **łańcuszek**.
kolczyki	earrings	Te **kolczyki** są srebrne.
kieszeń	pocket	Klucze mam w **kieszeni**.
kołnierzyk	collar	Jego **kołnierzyk** jest biały.
rękawy	sleeves	Ma krótkie **rękawy**.
nogawki	legs	Te **nogawki** są za długie.
suwak	slider	Zepsuł się **suwak**.
podeszwa	sole	Ta **podeszwa** jest brudna.
parasol	umbrella	Wziąłem **parasol**.
ryż	rice	Lubię **ryż** z warzywami.
makaron	pasta	Jem **makaron** na obiad.
kasza	groats	Dzisiaj gotuję **kasza**.
kanapka	sandwich	Ta **kanapka** jest z serem.
ciastko	cookie	Zjadłem jedno **ciastko**.
lody	ice-cream	Latem jem **lody**.
czekolada	chocolate	Kupiłem **czekolada**.
cukierek	candy	Daj mi jeden **cukierek**.
dżem	jam	Lubię **dżem** truskawkowy.
pomidor	tomato	Ten **pomidor** jest czerwony.
ogórek	cucumber	Kroję **ogórek** na sałatkę.
marchewka	carrot	Ta **marchewka** jest słodka.
cebula	onion	Obieram **cebula**.
czosnek	garlic	Dodaję **czosnek** do zupy.
kapusta	cabbage	**Kapusta** jest w misce.
sałata	lettuce	Ta **sałata** jest świeża.
banan	banana	To mój **banan**.
pomarańcza	orange	Obieram **pomarańcza**.
gruszka	pear	Ta **gruszka** jest dojrzała.
śliwka	plum	Lubię **śliwkę** na deser.
truskawka	strawberry	Ta **truskawka** jest słodka.
malina	raspberry	Zjadłem **malinę** na spacerze.
winogrono	grape	To **winogrono** jest bardzo słodkie.
orzech	nut	Mam jeden **orzech**.
cytryna	lemon	Dodaj **cytrynę** do herbaty.
woda mineralna	mineral water	Piję **wodę mineralną**.
woda gazowana	carbonated water	Lubię **wodę gazowaną**.
lemoniada	lemonade	Latem piję **lemoniadę**.
kompot	compote	Babcia robi **kompot**.
napój	drink	Ten **napój** jest zimny.
wódka	vodka	Na stole stoi **wódka**.
szampan	champagne	Na urodzinach pijemy **szampana**.
koktajl	cocktail	Zamówiłem **koktajl**.
kakao	cocoa	Rano piję **kakao**.
gorąca czekolada	hot chocolate	Chcę **gorącą czekoladę**.
kroić	to cut	Muszę **kroić** chleb.
smażyć	to fry	Mama lubi **smażyć** ryby.
piec	to bake	Babcia chce **piec** ciasto.
mieszać	to mix	Proszę **mieszać** zupę.
przepis	recipe	Mam dobry **przepis**.
składnik	component	Ten **składnik** jest ważny.
przyprawa	seasoning	Ta **przyprawa** jest ostra.
pieprz	pepper	Dodaj trochę **pieprzu**.
olej	oil	Wlej **olej** na patelnię.
ocet	vinegar	Do sałatki dodaję **ocet**.
mąka	flour	Do ciasta potrzebna jest **mąka**.
ciasto	cake	Mama piecze **ciasto**.
piekarnik	oven	Włącz **piekarnik** na 180 stopni.
wrzątek	boiling water	Uważaj, to **wrzątek**!
kasa	cash register	Przy **kasie** jest kolejka.
koszyk	basket	Wkładam jabłka do **koszyka**.
wózek	cart	Pcham **wózek** po sklepie.
promocja	special offer	Ta **promocja** trwa do jutra.
wyprzedaż	sale	Dzisiaj jest duża **wyprzedaż**.
zniżka	discount	Mam **zniżkę** na bilet.
paragon	receipt	Schowaj **paragon** do portfela.
reklamacja	complaint	Złożę **reklamację** w sklepie.
rozmiar	size	Ten **rozmiar** jest za mały.
przymierzalnia	dressing room	Idę do **przymierzalni**.
centrum handlowe	shopping mall	Spotkamy się w **centrum handlowym**.
targ	market	Na **targu** kupiłem warzywa.
bluzka	blouse	Ta **bluzka** jest czerwona.
koszulka	t-shirt	Mam nową **koszulkę**.
marynarka	blazer	Założył elegancką **marynarkę**.
garnitur	suit	Mój brat kupił **garnitur**.
krawat	tie	Tata wiąże **krawat**.
pasek	belt	Zapinam **pasek** do spodni.
torebka	bag	Położyła **torebkę** na stole.
portfel	wallet	Mój **portfel** jest pusty.
biżuteria	jewelry	Lubię moją **biżuterię**.
pierścionek	ring	Dostałam **pierścionek** od mamy.
naszyjnik	necklace	Mały **naszyjnik** leży na stole.
piżama	pajamas	W nocy noszę **piżamę**.
bielizna	underwear	Moja **bielizna** jest czysta.
zegarek	watch	Mój **zegarek** jest nowy.
mieszkanie	apartment	Moje **mieszkanie** jest małe.
balkon	balcony	Na **balkonie** piję kawę.
piwnica	basement	W **piwnicy** stoi rower.
strych	attic	Na **strychu** są stare książki.
schody	stairs	Te **schody** są strome.
korytarz	corridor	W **korytarzu** stoi szafa.
dach	roof	Na **dachu** leży śnieg.
brama	gate	**Brama** jest zamknięta.
płot	fence	Mamy nowy **płot**.
garaż	garage	Samochód stoi w **garażu**.
meble	furniture	Nowe **meble** są białe.
dywan	rug	Na podłodze leży **dywan**.
zasłony	drapes	Te **zasłony** są niebieskie.
poduszka	pillow	Ta **poduszka** jest miękka.
koc	blanket	Wieczorem mam ciepły **koc**.
lustro	mirror	Patrzę w **lustro**.
sprzątać	to clean	Muszę **sprzątać** pokój.
odkurzać	to vacuum	Dziś chcę **odkurzać** dywan.
zmywać	to do the dishes	Po obiedzie **zmywam**.
prać	to wash	Muszę **prać** koszulę.
prasować	to iron	Lubię **prasować** koszule.
ścierka	cloth	Umyj stół **ścierką**.
miotła	broom	Sprzątam podłogę **miotłą**.
odkurzacz	vacuum cleaner	Kupiliśmy nowy **odkurzacz**.
pralka	washing machine	**Pralka** jest pełna.
zmywarka	dishwasher	Włączam **zmywarkę**.
śmieci	garbage	Wyniosłem **śmieci**.
kosz	bin	Rzucam papierek do **kosza**.
mydło	soap	To **mydło** ładnie pachnie.
ręcznik	towel	Ten **ręcznik** jest mokry.
sekunda	second	Poczekaj jedną **sekundę**.
kwadrans	quarter of an hour	Czekałem cały **kwadrans**.
punktualnie	on time	Przyszedłeś **punktualnie**.
spóźnić się	to be late	Nie chcę **spóźnić się** do szkoły.
wcześnie	early	Wstaję **wcześnie**.
późno	late	Jest już **późno**.
zegar	clock	Na ścianie wisi **zegar**.
budzik	alarm clock	Mój **budzik** dzwoni rano.
doba	twenty-four hours	**Doba** ma dwadzieścia cztery godziny.
poniedziałek	Monday	W **poniedziałek** mam lekcje.
wtorek	Tuesday	We **wtorek** idę do lekarza.
środa	Wednesday	W **środę** mam wolne.
czwartek	Thursday	W **czwartek** pracuję.
piątek	Friday	W **piątek** wychodzę wcześniej.
sobota	Saturday	W **sobotę** idę do kina.
niedziela	Sunday	W **niedzielę** odpoczywam w domu.
styczeń	January	W **styczniu** jest zimno.
luty	February	W **lutym** pada śnieg.
marzec	March	W **marcu** jest jeszcze chłodno.
kwiecień	April	W **kwietniu** kwitną kwiaty.
maj	May	W **maju** jest ciepło.
czerwiec	June	W **czerwcu** są wakacje.
lipiec	July	W **lipcu** jedziemy nad morze.
sierpień	August	W **sierpniu** jest gorąco.
wrzesień	September	We **wrześniu** idę do szkoły.
październik	October	W **październiku** liście spadają.
listopad	November	W **listopadzie** jest szaro.
grudzień	December	W **grudniu** mam wolne.
data	date	Jaka jest **data** dzisiaj?
urodziny	birthday	Dzisiaj mam **urodziny**.
święto	holiday	Jutro jest **święto**.
rocznica	anniversary	To nasza **rocznica** ślubu.
weekend	weekend	W **weekend** śpię dłużej.
wiosna	spring	W **wiosnie** kwitną kwiaty.
lato	summer	Latem lubię **lato**.
jesień	autumn	W **jesieni** liście są żółte.
zima	winter	Lubię **zimę** i śnieg.
trzy	three	Mam **trzy** koty.
cztery	four	Kupiłem **cztery** jabłka.
pięć	five	Mam **pięć** jabłek.
sześć	six	Mam **sześć** jabłek.
siedem	seven	Mam **siedem** jabłek.
osiem	eight	Mam **osiem** jabłek.
dziewięć	nine	Mam **dziewięć** jabłek.
dziesięć	ten	Mam **dziesięć** jabłek.
sto	hundred	Mam **sto** złotych.
tysiąc	thousand	Mam **tysiąc** złotych.
zero	zero	Mam **zero** pieniędzy.
połowa	half	Zjadłem **połowę** ciasta.
ćwierć	quarter	Piję **ćwierć** litra wody.
tuzin	dozen	Kupiłem **tuzin** jajek.
procent	percent	Mam dziesięć **procent**.
fioletowy	purple	Mam **fioletowy** plecak.
granatowy	navy	Mam **granatowy** płaszcz.
beżowy	beige	Mam **beżowy** sweter.
srebrny	silver	Mam **srebrny** zegarek.
złoty	golden	Mam **złoty** pierścionek.
jasny	bright	To jest **jasny** pokój.
ciemny	dark	To jest **ciemny** pokój.
kolorowy	colorful	Mam **kolorowy** szalik.
odcień	hue	Lubię ten **odcień**.
koło	wheel	To **koło** jest duże.
kwadrat	square	To jest **kwadrat**.
trójkąt	triangle	To jest **trójkąt**.
prostokąt	rectangle	Narysowałem **prostokąt** na kartce.
owal	oval	Na stole leży **owal** z papieru.
linia	line	Narysuj prostą **linię**.
kąt	corner	Pasta leży w **kącie**.
okrągły	round	Stół jest **okrągły**.
kwadratowy	square	Mam **kwadratowy** stół.
płaski	flat	To jest **płaski** kamień.
ostry	spicy	Zupa jest bardzo **ostra**.
jasne	sure, clear	**Jasne**, pomogę ci.
zgadza się	that's right	**Zgadza się**, to prawda.
nie wiem	i don't know	**Nie wiem**.
moim zdaniem	in my opinion	**Moim zdaniem** to dobry pomysł.
na przykład	for example	Lubię owoce, **na przykład** jabłka.
w porządku	all right	Wszystko jest **w porządku**.
to zależy	it depends	**To zależy** od ceny.
dezynwoltura	nonchalance	Mówił z **dezynwolturą**.
nonszalancja	casualness	Jego **nonszalancja** irytuje mnie.
pieczołowitość	care	Robi to z **pieczołowitością**.
skrupuły	scruple	Nie mam **skrupułów**.
sumienność	conscientiousness	Jej **sumienność** pomaga w pracy.
rzetelność badawcza	research reliability	Ta praca pokazuje **rzetelność badawczą**.
dociekanie	inquiry	To **dociekanie** trwało długo.
rozterka	indecision	Mam dziś **rozterkę**.
dylemat	fix	Mam trudny **dylemat**.
rozdźwięk	discord	Między nimi jest **rozdźwięk**.
niesnaski	friction	W pracy pojawiły się **niesnaski**.
waśń	feud	Między sąsiadami trwała **waśń**.
zatarg	conflict	Miałem **zatarg** z kolegą.
polemika	polemics	To była ostra **polemika**.
dysputa	debate	Na lekcji była długa **dysputa**.
dygresja	digression	Jego **dygresja** trwała za długo.
wywód	line of argument	Twój **wywód** jest jasny.
przewód myślowy	thought conduit	Straciłem mój **przewód myślowy**.
konkluzja	conclusion	Moja **konkluzja** jest prosta.
puenta	punch line	Jej **puenta** była śmieszna.
morał	moral	**Morał** był prosty.
sentencja	sentence	Ta **sentencja** mnie zaskoczyła.
aforyzm	aphorism	Ten **aforyzm** jest znany.
truizm	truism	To tylko **truizm**.
banał	banality	Twoja odpowiedź to **banał**.
frazes	cliche	To brzmi jak pusty **frazes**.
eufemizm	euphemism	„Odszedł” to **eufemizm**.
hiperbola	hyperbole	To była zwykła **hiperbola**.
oksymoron	oxymoron	„Ciepły lód” to **oksymoron**.
peryfraza	periphrasis	To **peryfraza** słowa „król”.
archaizm	archaism	To słowo to **archaizm**.
neologizm	neologism	„Smog” to **neologizm**.
zapożyczenie	borrowing	„Komputer” to **zapożyczenie**.
kalka językowa	linguistic tracing paper	To brzmi jak **kalka językowa**.
idiom	idiom	„Mieć muchy w nosie” to **idiom**.
frazeologizm	phraseology	Ten **frazeologizm** jest mi znany.
składnia zdania	sentence syntax	**Składnia zdania** jest tu prosta.
stylistyka	stylistics	Na lekcji omawiamy **stylistykę**.
patos	pathos	Mówił z dużym **patosem**.
groteska	grotesque	Ta scena to czysta **groteska**.
pastisz	pastiche	To filmowy **pastisz** horroru.
parodia	parody	Ta piosenka to **parodia** reklamy.
satyra	satire	To jest ostra **satyra** na polityków.
kpina	mockery	To była zwykła **kpina**.
drwina	derision	Usłyszałem w jego głosie **drwinę**.
szyderstwo	sneer	Jego **szyderstwo** było bolesne.
uszczypliwość	causticity	Jej **uszczypliwość** mnie zraniła.
złośliwość	malice	Ta **złośliwość** nie była potrzebna.
przytyk	dig, jibe	To był mały **przytyk**.
docinek	jeer	Jego **docinek** mnie rozbawił.
enigmatyczny	enigmatic	Dał mi **enigmatyczny** znak.
lakoniczny	curt	Odpowiedział bardzo **lakonicznie**.
rozwlekły	wordy	Ten list jest za **rozwlekły**.
zawiły	intricate	To bardzo **zawiły** plan.
pokrętny	twisting	Jego **pokrętny** plan się nie udał.
mglisty	foggy	Dziś poranek jest **mglisty**.
dosłowny	literal	Wziął to **dosłownie**.
przenośny	portable	Ten plecak jest **przenośny**.
kunsztowny	ingenious	To było **kunsztowne** wykonanie.
wyszukany	sophisticated	Ma bardzo **wyszukany** gust.
wykwintny	exquisite	To jest **wykwintny** obiad.
wystawny	sumptuous	Mieli **wystawny** bal.
skromny w formie	modest in form	To był **skromny w formie** list.
oszczędny w słowach	sparing in words	Był **oszczędny w słowach**.
dobitny	distinct	Dał **dobitny** znak.
sugestywny	suggestive	Miał **sugestywny** głos.
przejmujący	poignant	To był **przejmujący** film.
wzruszający	moving	To była **wzruszająca** historia.
porażający	shocking	To był **porażający** widok.
druzgocący	crushing	Usłyszał **druzgocącą** wiadomość.
miażdżący	overwhelming	To była **miażdżąca** przewaga.
niepodważalny	indisputable	To jest **niepodważalny** dowód.
niezbity	irrefutable	To jest **niezbity** fakt.
poszlakowy	circumstantial	Mamy tylko **poszlakowy** dowód.
znamienny	telling, characteristic	To był **znamienny** gest.
osobliwy w formie	peculiar in form	To był **osobliwy w formie** obraz.
przewrotny w zamyśle	perverse in concept	To jest **przewrotny w zamyśle** żart.
przenikliwy	penetrating	Ma **przenikliwy** wzrok.
nieodparty	irresistible	Miał **nieodparty** urok.
nieuchronny	inevitable	To był **nieuchronny** koniec.
nieunikniony	unavoidable	Deszcz był **nieunikniony**.
nadrzędny	overriding	To jest **nadrzędny** cel naszej pracy.
podrzędny	subordinate	To jest **podrzędny** pokój w domu.
nadobowiązkowy	optional	Udział w spotkaniu był **nadobowiązkowy**.
obligatoryjny	obligatory	Ten kurs jest **obligatoryjny** dla wszystkich.
fakultatywny	elective	Angielski jest **fakultatywny** w tym semestrze.
doraźny	ad hoc	Potrzebujemy **doraźny** plan na dziś.
prowizoryczny	provisional	Zrobiliśmy **prowizoryczny** stół z desek.
zaimprowizowany	improvised	To był **zaimprowizowany** występ w kuchni.
premedytacja	premeditation	Jego czyn miał **premedytację**.
zaniechanie	failure	To było **zaniechanie** obowiązków.
przewinienie	misconduct	To było drobne **przewinienie**.
uchybienie	lapse	To **uchybienie** w pracy.
niedopatrzenie	oversight	To było zwykłe **niedopatrzenie**.
przeoczenie	slip	To **przeoczenie** kosztowało mnie czas.
zaległość	arrear	Mam **zaległość** w rachunkach.
nadwyżka	surplus	Mamy małą **nadwyżka** jedzenia.
niedobór	deficiency	W sklepie jest **niedobór** mleka.
deficyt	deficit	Mamy **deficyt** czasu.
posucha	drought	Latem była długa **posucha**.
skwar	scorcher	Na dworze był straszny **skwar**.
zawierucha	turmoil	W firmie trwała wielka **zawierucha**.
zaduch	stuffiness	W pokoju jest okropny **zaduch**.
rześkość	vigor	Poranny chłód dał mi **rześkość**.
przymrozek	ground frost	Dziś rano był lekki **przymrozek**.
odwilż	thaw	Po zimie przyszła **odwilż**.
posępny	sombre	Rano miałem bardzo **posępny** nastrój.
ponury	gloomy	Dziś jest **ponury** dzień.
markotny	moody	Po kłótni był **markotny**.
strapiony	distressed	Mama była **strapiona** chorobą.
udręczony	tormented	Był **udręczony** bólem.
rozanielony	blissful	Patrzył na dziecko **rozanielony**.
uradowany	rejoicing	Był **uradowany** wiadomością.
rześki	brisk	Po spacerze czuję się **rześki**.
krzepki	robust	Mój dziadek jest wciąż **krzepki**.
wątły	frail	Po chorobie był **wątły**.
mizerny	haggard	Po tygodniu był **mizerny**.
rosły	they grew	Dzieci szybko **rosły**.
zwinny	agile	Kot jest bardzo **zwinny**.
rozłożysty	wide-spreading	W ogrodzie stoi **rozłożysty** dąb.
bujny	lush	Latem ogród jest **bujny**.
jałowy	barren	Ta ziemia jest **jałowa**.
urodzajny	fertile	To jest **urodzajna** gleba.
nadmienić mimochodem	to mention in passing	Chcę tylko **nadmienić mimochodem** jedną rzecz.
roztrząsać	to discuss	Nie chcę **roztrząsać** tego problemu.
dociekać	to investigate	Policja będzie **dociekać** prawdy.
dowodzić tezy	prove a thesis	On chce **dowodzić tezy**.
utrzymywać stanowisko	maintain a position	Muszę **utrzymywać stanowisko** w sporze.
podtrzymać	to maintain	Chcę **podtrzymać** rozmowę.
uchylić	to repeal	Sejm może **uchylić** ustawę.
zawiesić	to suspend	Sąd może **zawiesić** karę.
umorzyć	to cancel	Sąd **umorzył** sprawę.
zasądzić	to judge	Sąd **zasądził** odszkodowanie.
odwlekać	to procrastinate	Nie **odwlekaj** wizyty u lekarza.
zaniechać działań	refrain from taking action	Postanowił **zaniechać działań**.
wzbraniać się	to refrain	Ona **wzbrania się** przed odpowiedzią.
napomknąć	to hint	Mama **napomknęła** o prezencie.
przemilczeć	to pass over in silence	On **przemilczał** ten błąd.
zataić	to conceal	Nie chcę **zataić** prawdy.
wyjawić	to disclose	Proszę **wyjawić** sekret.
ujawnić	to reveal	Policja **ujawniła** dowody.
zdemaskować	to expose	Dziennikarz **zdemaskował** oszusta.
piętnować	to stigmatize	Gazeta **piętnuje** przemoc.
gloryfikować	to glorify	Nie **gloryfikuj** wojny.
deprecjonować	to depreciate	Nie **deprecjonuj** mojej pracy.
nobilitować	to ennoble	Nagroda **nobilituje** zwycięzcę.
uwiarygodnić	to make it credible	To zdjęcie **uwiarygodniło** historię.
zdyskredytować	to discredit	Plotka **zdyskredytowała** go.
dyrektor	headmaster, director	**Dyrektor** szkoły mówi.
klasa	class	Moja **klasa** jest duża.
świadectwo	certificate	Dostałem **świadectwo** z czerwonym paskiem.
przedmiot	item	Ten **przedmiot** jest ciężki.
matematyka	mathematics	**Matematyka** jest trudna.
historia	history	Lubię **historię** Polski.
geografia	geography	Na **geografii** uczymy się map.
biologia	biology	**Biologia** jest ciekawa.
chemia	chemistry	Lubię **chemię** w szkole.
fizyka	physics	Dzisiaj mam **fizykę**.
ferie	school holidays	Na **ferie** jadę w góry.
dzwonek	bell	Zadzwonił **dzwonek**.
stołówka	cafeteria	W **stołówce** jest zupa.
boisko	sports pitch	Dzieci grają na **boisku**.
wydział	faculty	Studiuję na tym **wydziale**.
semestr	term	Nowy **semestr** zaczyna się jutro.
sesja	session	Mam trudną **sesję**.
stypendium	scholarship	Otrzymałem **stypendium**.
akademik	dormitory	Mieszkam w **akademiku**.
rektor	rector	**Rektor** mówi dziś do studentów.
dziekan	dean	**Dziekan** podpisał dokument.
praca magisterska	master's thesis	Piszę **pracę magisterską**.
licencjat	bachelor degree	Mam już **licencjat**.
doktorat	doctorate	Chcę zrobić **doktorat**.
ławka	bench	Siedzę na **ławce**.
projektor	projector	Włącz **projektor**.
gąbka	sponge	Ta **gąbka** jest mokra.
podręcznik	manual	Otwórz **podręcznik** na stronie dwa.
słownik	dictionary	Szukam słowa w **słowniku**.
obecność	presence	Twoja **obecność** jest ważna.
skupienie	focusing	Potrzebuję **skupienia**.
motywacja	motivation	Mam dziś dobrą **motywację**.
powtórka	repeat	Robię **powtórkę** z matematyki.
fiszka	index card	Na **fiszce** napisałem nowe słowo.
streszczenie	summary	To **streszczenie** jest krótkie.
pamięć	memory	Mam dobrą **pamięć**.
postęp	progress	Widzę duży **postęp**.
nawyk	habit	To mój codzienny **nawyk**.
kolega z pracy	a colleague from work	Mój **kolega z pracy** dziś dzwoni.
nadgodziny	overtime	W tym tygodniu mam **nadgodziny**.
urlop	vacation	W lipcu mam **urlop**.
zwolnienie	sick leave	Lekarz dał mi **zwolnienie**.
pensja	salary	Moja **pensja** jest wyższa.
awans	promotion	Dostałem **awans**.
rozmowa kwalifikacyjna	interview	Mam jutro **rozmowę kwalifikacyjną**.
stanowisko	position	To dobre **stanowisko**.
dział	department	Pracuję w tym **dziale**.
sekretarka	secretary	**Sekretarka** czeka w biurze.
konferencja	conference	Jutro jest **konferencja**.
agenda	agenda	Ta **agenda** jest prosta.
uczestnik	participant	Każdy **uczestnik** dostał bilet.
prowadzący	leading	**Prowadzący** zadał pytanie.
wniosek	conclusion, motion	Mój **wniosek** jest prosty.
ustalenia	arrangements	Nasze **ustalenia** są jasne.
telekonferencja	teleconference	Mamy dziś **telekonferencję**.
zaproszenie	invitation	Dostałem **zaproszenie** na wesele.
podsumowanie	summary	Na końcu zrobiłem **podsumowanie**.
inwestycja	investment	Ta **inwestycja** jest droga.
budżet	budget	Nasz **budżet** jest mały.
koszt	cost	Jaki jest **koszt** biletu?
dochód	income	Mój **dochód** wzrósł w tym roku.
akcje	shares	Kupiłem dziś **akcje** spółki.
marka	mark	To moja ulubiona **marka** butów.
strategia	strategy	Nasza **strategia** działa dobrze.
dostawca	supplier	Nowy **dostawca** spóźnił się dziś.
magazyn	warehouse	Towar leży w **magazynie**.
waluta	currency	Euro to popularna **waluta**.
kurs	course	Mój **kurs** angielskiego jest dziś.
przelew	transfer	Zrobiłem **przelew** przez telefon.
bankomat	atm	Wypłaciłem pieniądze z **bankomatu**.
odsetki	interest	Bank nalicza **odsetki** co miesiąc.
pożyczka	loan	Wziąłem **pożyczkę** w banku.
rata	installment	Płacę jedną **ratę** co miesiąc.
emerytura	pension	Babcia dostaje **emeryturę**.
ubezpieczenie	insurance	Mam **ubezpieczenie** auta.
inflacja	inflation	**Inflacja** rośnie bardzo szybko.
laptop	laptop	Mój **laptop** jest nowy.
monitor	monitor	Nowy **monitor** jest większy.
dysk	disk	Na **dysku** mam zdjęcia.
procesor	processor	Ten **procesor** jest bardzo szybki.
system	system	Mój **system** nie działa.
folder	folder	Zdjęcia są w tym **folderze**.
kliknąć	to click	Musisz **kliknąć** tutaj.
zainstalować	to install	Chcę **zainstalować** tę aplikację.
aktualizacja	update	Mam nową **aktualizację** telefonu.
link	link	Kliknij ten **link**.
e-mail	email	Wyślij mi **e-mail**.
logowanie	login	**Logowanie** było dziś trudne.
wirus	virus	Mój komputer ma **wirus**.
